_id,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION
1,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
2,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
3,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,55 to 59,Minor,None,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
4,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
5,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
6,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
7,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
8,893184,2006-01-01,236,WOODBINE AVE,O CONNOR DR,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,25 to 29,None,None,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,Yes,Yes,None,Yes,None,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55
9,909646,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,10 to 14,Minor,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,64,Woodbine Corridor,64,Woodbine Corridor (64),D55
10,909646,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,64,Woodbine Corridor,64,Woodbine Corridor (64),D55
11,909646,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,64,Woodbine Corridor,64,Woodbine Corridor (64),D55
12,909646,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Driver,20 to 24,None,None,East,"Automobile, Station Wagon",Changing Lanes,Lost control,Inattentive,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,64,Woodbine Corridor,64,Woodbine Corridor (64),D55
13,909646,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,None,Major Arterial,Toronto and East York,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,64,Woodbine Corridor,64,Woodbine Corridor (64),D55
14,884090,2006-01-02,705,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,None,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,None,South,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Inattentive,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,None,None,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14
15,884090,2006-01-02,705,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,None,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,None,West,None,None,None,None,Pedestrian hit at mid-block,Crossing without right of way,Inattentive,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,None,None,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14
16,885782,2006-01-04,1940,DUFFERIN ST,SYLVAN AVE,None,Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,None,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,None,None,83,Dufferin Grove,83,Dufferin Grove (83),D11
17,885782,2006-01-04,1940,DUFFERIN ST,SYLVAN AVE,None,Major Arterial,Toronto and East York,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,75 to 79,Major,None,East,Other,None,None,None,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,None,None,83,Dufferin Grove,83,Dufferin Grove (83),D11
18,882079,2006-01-06,2210,DON MILLS RD,LEITH HILL RD,None,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,None,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,None,None,47,Don Valley Village,47,Don Valley Village (47),D33
19,882079,2006-01-06,2210,DON MILLS RD,LEITH HILL RD,None,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,None,West,None,None,None,None,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Inattentive,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,None,None,47,Don Valley Village,47,Don Valley Village (47),D33
20,882024,2006-01-07,2325,STEELES AVE E,NINTH LINE ST,None,Minor Arterial,Scarborough,None,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,50 to 54,Fatal,None,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,144,Morningside Heights,131,Rouge (131),D42
21,882024,2006-01-07,2325,STEELES AVE E,NINTH LINE ST,None,Minor Arterial,Scarborough,None,No Control,Clear,Dark,Wet,Fatal,Approaching,Vehicle Owner,unknown,None,None,None,Other,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,144,Morningside Heights,131,Rouge (131),D42
22,882024,2006-01-07,2325,STEELES AVE E,NINTH LINE ST,None,Minor Arterial,Scarborough,None,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,35 to 39,Major,None,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,144,Morningside Heights,131,Rouge (131),D42
23,887568,2006-01-08,1507,PARLIAMENT ST,FRONT ST E,None,Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minimal,None,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51
24,887568,2006-01-08,1507,PARLIAMENT ST,FRONT ST E,None,Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Major,None,East,Passenger Van,Going Ahead,Driving Properly,Normal,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51
25,887568,2006-01-08,1507,PARLIAMENT ST,FRONT ST E,None,Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51
26,887568,2006-01-08,1507,PARLIAMENT ST,FRONT ST E,None,Minor Arterial,Toronto and East York,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51
27,882497,2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,None,Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,None,None,None,Other,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,None,None,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23
28,882497,2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,None,Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,None,None,None,Other,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,None,None,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23
29,882497,2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,None,Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,10 to 14,None,None,None,Other,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,None,None,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23
30,882497,2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,None,Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,None,None,None,Other,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,None,None,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23
31,882497,2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,None,Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,20 to 24,None,None,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Normal,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,None,None,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23
32,882497,2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,None,Major Arterial,Etobicoke York,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,10 to 14,Fatal,None,East,Other,None,None,None,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,None,None,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),D23
