latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.70455,-79.404625,165.0,-14400,America/Toronto,GMT-4

time,temperature_2m (°C),weather_code (wmo code),wind_speed_10m (km/h),visibility (m),wind_direction_10m (°),precipitation (mm)
2025-10-23T00:00,6.1,2,10.5,15400.00,221,0.00
2025-10-23T01:00,6.2,1,10.2,13800.00,225,0.00
2025-10-23T02:00,6.5,0,15.9,15300.00,245,0.00
2025-10-23T03:00,6.3,0,10.5,15200.00,254,0.00
2025-10-23T04:00,6.5,0,15.2,17100.00,256,0.00
2025-10-23T05:00,6.6,3,16.0,16600.00,261,0.00
2025-10-23T06:00,6.7,3,13.3,15600.00,272,0.00
2025-10-23T07:00,6.6,0,9.7,14500.00,255,0.00
2025-10-23T08:00,6.8,3,13.3,14500.00,270,0.00
2025-10-23T09:00,7.8,0,12.0,15200.00,279,0.00
2025-10-23T10:00,9.2,0,11.0,15900.00,293,0.00
2025-10-23T11:00,10.4,1,13.7,19100.00,284,0.00
2025-10-23T12:00,11.5,2,10.7,24000.00,282,0.00
2025-10-23T13:00,12.2,1,13.0,28200.00,270,0.00
2025-10-23T14:00,12.0,2,12.4,30300.00,280,0.00
2025-10-23T15:00,11.6,51,13.8,21000.00,263,0.10
2025-10-23T16:00,10.2,2,19.6,21400.00,284,0.00
2025-10-23T17:00,10.3,3,6.9,20100.00,223,0.00
2025-10-23T18:00,9.0,51,13.8,13700.00,319,0.10
2025-10-23T19:00,8.2,3,12.0,13400.00,314,0.00
2025-10-23T20:00,7.6,51,10.7,14500.00,312,0.20
2025-10-23T21:00,6.7,0,9.1,15000.00,279,0.00
2025-10-23T22:00,6.1,0,8.6,16000.00,270,0.00
2025-10-23T23:00,5.7,0,11.9,17300.00,272,0.00
2025-10-24T00:00,5.2,2,10.8,17100.00,270,0.00
2025-10-24T01:00,5.6,3,11.2,17000.00,272,0.00
2025-10-24T02:00,5.8,3,9.7,16500.00,270,0.00
2025-10-24T03:00,5.9,3,11.2,16600.00,274,0.00
2025-10-24T04:00,5.8,3,10.7,16100.00,258,0.00
2025-10-24T05:00,5.7,3,12.8,15300.00,260,0.00
2025-10-24T06:00,5.0,3,12.1,15400.00,258,0.00
2025-10-24T07:00,4.8,1,10.8,15000.00,272,0.00
2025-10-24T08:00,4.6,3,10.0,15100.00,285,0.00
2025-10-24T09:00,5.4,3,8.2,15400.00,299,0.00
2025-10-24T10:00,6.2,3,10.6,17500.00,294,0.00
2025-10-24T11:00,7.1,3,12.1,19000.00,300,0.00
2025-10-24T12:00,7.8,3,13.3,21300.00,311,0.00
2025-10-24T13:00,8.7,1,10.2,24000.00,288,0.00
2025-10-24T14:00,9.4,3,5.6,28000.00,310,0.00
2025-10-24T15:00,8.7,3,14.1,25300.00,341,0.00
2025-10-24T16:00,8.0,2,10.3,24500.00,335,0.00
2025-10-24T17:00,7.5,3,11.1,22300.00,331,0.00
2025-10-24T18:00,6.4,2,9.6,19600.00,326,0.00
2025-10-24T19:00,5.5,3,12.0,17200.00,327,0.00
2025-10-24T20:00,5.6,3,11.2,17900.00,315,0.00
2025-10-24T21:00,4.8,2,8.2,16700.00,285,0.00
2025-10-24T22:00,4.0,0,8.8,15300.00,305,0.00
2025-10-24T23:00,3.5,0,8.7,14500.00,312,0.00
2025-10-25T00:00,4.2,3,8.0,14700.00,280,0.00
2025-10-25T01:00,4.3,3,9.4,14400.00,277,0.00
2025-10-25T02:00,4.2,3,9.8,14300.00,294,0.00
2025-10-25T03:00,3.2,1,8.1,14200.00,302,0.00
2025-10-25T04:00,3.4,3,9.0,14400.00,299,0.00
2025-10-25T05:00,3.8,3,7.1,14900.00,315,0.00
2025-10-25T06:00,3.8,3,5.4,14200.00,307,0.00
2025-10-25T07:00,3.9,3,5.5,14000.00,328,0.00
2025-10-25T08:00,4.1,3,5.9,13800.00,317,0.00
2025-10-25T09:00,4.9,3,5.8,14600.00,330,0.00
2025-10-25T10:00,6.2,3,6.6,16400.00,351,0.00
2025-10-25T11:00,7.2,3,8.4,19100.00,7,0.00
2025-10-25T12:00,7.6,3,5.4,20600.00,356,0.00
2025-10-25T13:00,7.4,3,4.1,21500.00,322,0.00
2025-10-25T14:00,7.8,3,7.6,21700.00,8,0.00
2025-10-25T15:00,8.5,3,2.6,24900.00,344,0.00
2025-10-25T16:00,8.5,3,2.6,27300.00,16,0.00
2025-10-25T17:00,8.4,3,2.4,26200.00,63,0.00
2025-10-25T18:00,7.6,51,1.4,16500.00,360,0.40
2025-10-25T19:00,7.3,3,1.1,17200.00,90,0.00
2025-10-25T20:00,6.9,3,2.7,15500.00,23,0.00
2025-10-25T21:00,7.5,0,7.2,24140.00,18,0.00
2025-10-25T22:00,7.0,2,7.7,24140.00,28,0.00
2025-10-25T23:00,6.5,0,7.2,24140.00,18,0.00
2025-10-26T00:00,6.1,0,6.2,24140.00,10,0.00
2025-10-26T01:00,5.8,3,6.6,24140.00,9,0.00
2025-10-26T02:00,5.6,3,7.4,24140.00,14,0.00
2025-10-26T03:00,5.6,3,6.6,24140.00,13,0.00
2025-10-26T04:00,5.1,3,6.5,24140.00,6,0.00
2025-10-26T05:00,4.7,3,6.6,24140.00,9,0.00
2025-10-26T06:00,4.5,3,7.1,24140.00,15,0.00
2025-10-26T07:00,4.2,3,7.4,24140.00,14,0.00
2025-10-26T08:00,3.8,0,7.2,24140.00,18,0.00
2025-10-26T09:00,4.2,0,8.5,24140.00,28,0.00
2025-10-26T10:00,5.3,0,8.0,24140.00,36,0.00
2025-10-26T11:00,6.6,0,7.5,24140.00,35,0.00
2025-10-26T12:00,7.8,0,7.6,24140.00,31,0.00
2025-10-26T13:00,8.7,0,8.0,24140.00,18,0.00
2025-10-26T14:00,9.4,0,8.8,24140.00,12,0.00
2025-10-26T15:00,9.7,0,9.8,24140.00,8,0.00
2025-10-26T16:00,9.7,0,11.6,24140.00,7,0.00
2025-10-26T17:00,9.0,0,12.0,24140.00,7,0.00
2025-10-26T18:00,8.3,0,10.6,24140.00,10,0.00
2025-10-26T19:00,7.6,0,9.3,24140.00,13,0.00
2025-10-26T20:00,7.1,0,8.4,24140.00,25,0.00
2025-10-26T21:00,6.7,0,7.5,24140.00,35,0.00
2025-10-26T22:00,6.3,0,8.1,24140.00,45,0.00
2025-10-26T23:00,5.7,0,12.1,24140.00,67,0.00
2025-10-27T00:00,5.5,0,11.0,24140.00,67,0.00
2025-10-27T01:00,5.1,0,12.1,24140.00,60,0.00
2025-10-27T02:00,4.6,0,12.1,24140.00,60,0.00
2025-10-27T03:00,4.1,0,11.4,24140.00,62,0.00
2025-10-27T04:00,3.7,0,10.6,24140.00,62,0.00
2025-10-27T05:00,3.3,0,10.5,24140.00,59,0.00
2025-10-27T06:00,2.9,0,10.2,24140.00,58,0.00
2025-10-27T07:00,2.8,0,9.8,24140.00,54,0.00
2025-10-27T08:00,2.6,0,9.8,24140.00,54,0.00
2025-10-27T09:00,3.1,0,11.6,24140.00,60,0.00
2025-10-27T10:00,4.2,0,11.6,24140.00,68,0.00
2025-10-27T11:00,5.3,0,11.9,24140.00,76,0.00
2025-10-27T12:00,6.4,0,12.3,24140.00,85,0.00
2025-10-27T13:00,7.3,0,13.7,24140.00,90,0.00
2025-10-27T14:00,7.9,0,14.8,24140.00,91,0.00
2025-10-27T15:00,8.2,0,15.5,24140.00,94,0.00
2025-10-27T16:00,8.0,1,15.6,24140.00,97,0.00
2025-10-27T17:00,7.6,2,15.6,24140.00,97,0.00
2025-10-27T18:00,7.4,2,12.0,24140.00,97,0.00
2025-10-27T19:00,7.4,2,13.3,24140.00,88,0.00
2025-10-27T20:00,7.1,3,16.4,24140.00,71,0.00
2025-10-27T21:00,6.1,3,15.6,24140.00,67,0.00
2025-10-27T22:00,5.2,0,14.7,24140.00,65,0.00
2025-10-27T23:00,4.8,0,15.1,24140.00,65,0.00
2025-10-28T00:00,5.0,2,13.4,24140.00,59,0.00
2025-10-28T01:00,5.1,3,12.8,24140.00,58,0.00
2025-10-28T02:00,5.4,3,12.4,24140.00,60,0.00
2025-10-28T03:00,5.5,3,14.0,24140.00,61,0.00
2025-10-28T04:00,5.0,3,15.0,24140.00,63,0.00
2025-10-28T05:00,4.2,2,14.7,24140.00,65,0.00
2025-10-28T06:00,3.8,2,15.1,24140.00,62,0.00
2025-10-28T07:00,4.1,3,16.4,24140.00,57,0.00
2025-10-28T08:00,3.9,3,15.8,24140.00,60,0.00
2025-10-28T09:00,3.9,51,16.2,24140.00,58,0.10
