_id,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,ACCLOC,TRAFFCTL,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,FATAL_NO,INITDIR,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,datetime,hour,day_of_week,is_weekend,weather_condition,vehicle_category,injury_severity,temperature,weather_code,wind_speed,visibility,wind_direction,precipitationnew_col_X
1,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Passenger,50 to 54,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Other,2.0,6.6,0,9.7,14500.0,255,0.0
2,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Passenger,15 to 19,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Other,1.0,6.6,0,9.7,14500.0,255,0.0
3,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Driver,55 to 59,,North,Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Car,1.0,6.6,0,9.7,14500.0,255,0.0
4,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Passenger,20 to 24,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Other,1.0,6.6,0,9.7,14500.0,255,0.0
5,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Passenger,15 to 19,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Other,1.0,6.6,0,9.7,14500.0,255,0.0
6,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Passenger,20 to 24,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Other,1.0,6.6,0,9.7,14500.0,255,0.0
7,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Other,0.0,6.6,0,9.7,14500.0,255,0.0
8,893184.0,2006-01-01,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,Approaching,Driver,25 to 29,,South,Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,2006-01-01 03:56:00,3,6,True,Rainy,Car,0.0,6.6,0,9.7,14500.0,255,0.0
13,909646.0,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,64,Woodbine Corridor,64,Woodbine Corridor (64),D55,2006-01-01 05:15:00,5,6,True,Snowy,Other,0.0,9.2,0,11.0,15900.0,293,0.0
12,909646.0,2006-01-01,315,DANFORTH AVE,WEST LYNN AVE,,Major Arterial,Toronto and East York,Intersection Related,No Control,Non-Fatal Injury,SMV Other,Driver,20 to 24,,East,Changing Lanes,Lost control,Inattentive,,,,,,,,,Yes,,,,,Yes,,,,,,64,Woodbine Corridor,64,Woodbine Corridor (64),D55,2006-01-01 05:15:00,5,6,True,Snowy,Car,0.0,9.2,0,11.0,15900.0,293,0.0
